Age.Group,Country,Weekly.Exercise.Sessions,Daily.Logins,Paid.Coaching
50-64,USA,4.6,7.6,TRUE
35-49,USA,2.5,7,TRUE
65+,Canada,5.9,7.9,FALSE
35-49,USA,6.1,5.7,FALSE
18-34,Mexico,8.2,7.3,FALSE
65+,USA,4.4,1.6,FALSE
65+,Canada,8.4,8.3,FALSE
18-34,USA,0.4,5.6,FALSE
35-49,USA,3.5,2,FALSE
18-34,USA,2.5,6.3,TRUE
18-34,Mexico,3.5,8.9,FALSE
18-34,USA,0,3.5,FALSE
50-64,USA,3.6,4.1,FALSE
35-49,USA,0.2,3.8,FALSE
18-34,USA,5.6,9.8,FALSE
18-34,USA,4.8,4.6,FALSE
65+,Canada,6.9,4.4,FALSE
18-34,USA,8.1,9.5,FALSE
65+,Mexico,7.9,8.2,FALSE
35-49,USA,5.8,8.7,FALSE
50-64,Canada,6.3,5.8,FALSE
18-34,Mexico,4,8.1,FALSE
50-64,Mexico,5.8,8.3,FALSE
35-49,Mexico,2.4,9.4,FALSE
18-34,Mexico,5.4,4.7,FALSE
18-34,USA,6.7,7.2,TRUE
65+,Mexico,6.1,6.1,TRUE
50-64,USA,1.3,2.4,FALSE
35-49,USA,8.4,8.3,TRUE
18-34,USA,1.7,3.6,FALSE
65+,Mexico,2,5.1,FALSE
35-49,Mexico,8,10.1,FALSE
65+,Mexico,5.1,6.5,TRUE
65+,Canada,5.4,9.8,TRUE
18-34,Mexico,0.7,5.2,FALSE
50-64,USA,8.3,5.6,TRUE
35-49,USA,6.4,4,FALSE
18-34,Canada,3,6.9,TRUE
35-49,Canada,6.9,6.8,FALSE
18-34,Canada,6.3,6.8,FALSE
65+,USA,7.4,5.4,FALSE
65+,Mexico,5.2,6.1,FALSE
65+,USA,2.6,3.4,FALSE
18-34,USA,0,3.4,FALSE
65+,USA,2,4.1,FALSE
35-49,USA,2.7,9.6,TRUE
18-34,USA,3.5,4.7,FALSE
65+,USA,3.2,3.4,FALSE
18-34,USA,5.9,8.1,FALSE
50-64,Mexico,6,4.6,TRUE
18-34,Mexico,4.3,6.7,FALSE
18-34,USA,5.5,4.2,FALSE
35-49,USA,1.1,3,FALSE
65+,USA,1.9,5.6,FALSE
35-49,Canada,4.3,2.9,FALSE
35-49,Mexico,6.3,4.1,FALSE
65+,USA,4.6,3.4,FALSE
18-34,Mexico,4.3,8.5,TRUE
18-34,USA,3.7,8.7,FALSE
18-34,USA,7.9,5.6,FALSE
18-34,USA,11.3,3,FALSE
35-49,Mexico,3.9,8.2,TRUE
65+,Mexico,3.6,5.3,FALSE
18-34,Mexico,4.7,3.9,FALSE
18-34,USA,4.3,5.5,FALSE
65+,Canada,8.6,6.3,FALSE
35-49,Canada,3.7,5,FALSE
18-34,Canada,5.6,4.9,FALSE
35-49,USA,5.9,3.8,TRUE
50-64,Canada,6.1,9.4,TRUE
35-49,Canada,6.1,4,FALSE
35-49,Mexico,8.6,8.7,FALSE
18-34,USA,7.1,10.1,TRUE
50-64,USA,2.7,1.3,FALSE
65+,Mexico,3.6,3.6,FALSE
18-34,Mexico,5.8,2.7,FALSE
35-49,Canada,4.3,7.8,FALSE
50-64,USA,4.3,2,FALSE
18-34,Canada,4.8,9.2,TRUE
35-49,USA,6.5,8.9,TRUE
35-49,USA,4.1,3.8,FALSE
18-34,USA,5.6,10.8,FALSE
18-34,USA,5.8,6.3,FALSE
65+,Mexico,3.7,4.2,FALSE
65+,USA,6,3.5,TRUE
50-64,USA,2.6,5.1,FALSE
50-64,Mexico,6.4,4.8,FALSE
18-34,Mexico,7.4,7.4,FALSE
65+,Canada,3.2,10.4,TRUE
50-64,USA,7.9,9,TRUE
65+,Mexico,0,5.9,FALSE
18-34,Mexico,7.1,8.4,TRUE
50-64,Canada,2.4,6.8,FALSE
35-49,Canada,5.7,9.3,FALSE
35-49,Mexico,4.5,9.2,TRUE
35-49,USA,5.2,6.4,FALSE
50-64,USA,8.8,8.6,TRUE
65+,USA,5.4,6.1,TRUE
35-49,Mexico,5.4,7.9,FALSE
18-34,Mexico,4.8,8.7,TRUE
50-64,Mexico,5.7,2.5,FALSE
35-49,USA,3.5,3.1,FALSE
18-34,USA,5,8.7,FALSE
65+,USA,6.8,5.5,FALSE
50-64,USA,10.9,8.6,FALSE
18-34,Canada,5.8,4.9,FALSE
50-64,USA,8,5.6,FALSE
18-34,USA,5.8,4,FALSE
65+,USA,7.9,1,FALSE
50-64,USA,5.3,7.7,TRUE
18-34,USA,5.6,3.6,FALSE
18-34,Canada,2.2,2.2,TRUE
18-34,Mexico,3.6,10.6,TRUE
65+,USA,3.5,3.8,FALSE
18-34,USA,0,4.6,FALSE
18-34,Canada,5.6,6.1,TRUE
65+,Mexico,0.7,4.1,FALSE
65+,USA,9.5,11.3,TRUE
35-49,USA,5.2,6.5,FALSE
35-49,Canada,5.3,5.7,TRUE
65+,Mexico,5.8,8.8,FALSE
65+,Mexico,4.6,10.3,FALSE
65+,USA,3.6,5.9,FALSE
65+,USA,5.4,10.6,FALSE
65+,USA,4.7,4.9,TRUE
18-34,USA,3.4,7.5,FALSE
18-34,Canada,5.5,5.8,FALSE
18-34,USA,4.1,10,FALSE
35-49,USA,5.1,9.4,FALSE
18-34,USA,9.4,4.1,FALSE
65+,Mexico,2.8,3.8,FALSE
65+,Canada,2.9,6.5,FALSE
35-49,USA,6.4,7.1,TRUE
18-34,Mexico,10.2,9.5,FALSE
65+,USA,4.3,9.3,TRUE
65+,USA,11.7,7.1,FALSE
35-49,USA,1.6,2.2,FALSE
50-64,Mexico,5.3,5.7,FALSE
18-34,Canada,5.8,7.9,TRUE
65+,USA,6.4,8.4,TRUE
